gene_id,Control1_NP,Control2_NP,Control3_NP,Control4_NP,Control1_P,Control2_P,Control3_P,Control4_P,EE1_P,EE2_P,EE3_P,EE4_P
MSTRG.10677,434,271,227,233,283,238,191,687,883,360,236,304
MSTRG.5237,206,164,237,273,179,564,216,259,498,162,213,235
MSTRG.5984,302,248,147,209,165,156,130,413,455,272,182,300
MSTRG.5987,231,181,193,29,31,14,112,36,41,117,24,27
MSTRG.5986,2564,2089,1958,1714,1780,1778,1741,3957,5899,2254,1837,2411
MSTRG.5981,42,23,14,9,22,40,15,46,60,37,19,42
MSTRG.10674,46,88,34,27,21,88,22,251,247,67,73,48
MSTRG.5231,29,30,40,56,13,117,10,100,80,35,54,21
MSTRG.5982,1817,2017,1934,1942,1419,1553,1680,3967,4467,2341,1796,2371
MSTRG.17019,995,765,477,711,604,363,727,2025,1795,592,630,942
MSTRG.16616,612,547,551,494,354,475,385,911,836,728,560,438
MSTRG.20399,254,327,321,200,185,132,155,524,478,471,207,298
MSTRG.21588,148,150,199,212,79,135,132,310,381,189,100,66
MSTRG.19520,59,61,41,96,27,44,38,86,61,45,20,61
MSTRG.14311,11,29,17,22,19,16,19,33,25,17,0,17
MSTRG.19523,14,13,14,8,8,0,13,30,22,18,11,5
MSTRG.1876,45,13,18,89,44,13,59,79,72,42,28,25
MSTRG.10673,38,73,61,50,30,60,63,165,133,51,39,120
MSTRG.4591,69,0,0,0,0,0,0,0,2,2,0,0
MSTRG.19522,400,226,374,81,95,79,51,203,316,307,215,217
MSTRG.14313,124,38,71,16,57,110,59,72,253,90,85,81
MSTRG.11569,1053,1010,841,810,783,610,656,1742,1693,1106,725,1006
MSTRG.8418,579,582,507,492,275,444,259,993,809,515,471,587
MSTRG.10671,453,404,302,422,489,561,356,678,1122,490,430,339
MSTRG.19944,814,756,706,630,656,643,671,1394,1816,731,850,755
MSTRG.6257,250,334,365,293,337,204,228,912,618,471,332,607
MSTRG.12316,35,34,57,43,45,30,24,126,109,53,36,66
MSTRG.7587,6,7,0,6,0,16,9,10,27,0,3,6
MSTRG.7586,4358,4404,3694,3979,2975,3360,3585,10350,8526,4824,3594,4460
MSTRG.7585,662,527,530,518,401,435,275,1004,1059,575,368,492
MSTRG.4514,12,14,10,0,0,0,5,21,19,0,9,3
MSTRG.7583,0,7,12,9,0,3,10,18,12,12,5,11
MSTRG.7582,845,813,848,901,784,1008,583,1954,1597,1034,1381,1420
MSTRG.7581,814,460,445,1,68,26,254,33,89,19,529,6
MSTRG.7580,15,18,5,6,3,0,12,7,16,1,7,7
MSTRG.13390,5,0,0,0,8,0,0,0,3,0,0,0
MSTRG.13391,9,0,0,8,0,0,0,6,0,0,0,0
MSTRG.13392,16,6,6,6,35,13,9,11,0,0,12,7
MSTRG.12314,23,20,32,11,30,19,11,24,44,25,10,20
MSTRG.13394,160,277,114,135,142,88,114,445,403,222,152,145
MSTRG.13395,788,783,546,578,566,510,551,1534,1346,809,499,845
MSTRG.13396,14358,11679,7342,9709,7856,4202,3542,18395,20838,8084,4955,8474
MSTRG.13397,9,193,205,5,9,3,3,338,0,0,111,9
MSTRG.21302,0,0,4,0,0,75,0,0,13,0,0,0
MSTRG.21303,0,0,0,0,0,12,0,0,0,0,0,0
MSTRG.3234,5171,4846,3486,5442,5650,2784,3484,10084,11902,4737,4097,6344
MSTRG.21301,0,0,0,0,0,51,2,4,5,0,0,5
MSTRG.21306,4,0,3,0,0,18,0,0,0,0,4,0
MSTRG.21307,3,0,1,0,0,29,0,0,4,4,3,0
MSTRG.21304,0,0,0,0,0,32,0,0,0,0,0,0
MSTRG.6927,0,0,4,0,0,4,0,3,3,4,0,3
MSTRG.15154,1709,1675,1330,1345,1696,1072,1064,3092,3188,2206,1739,1822
MSTRG.21308,1032,791,682,786,711,705,885,1767,971,605,421,1154
MSTRG.21309,0,0,0,0,0,0,4,0,0,10,0,8
MSTRG.17745,127,140,239,69,120,50,70,235,246,120,96,99
MSTRG.13340,3186,2557,2530,2010,2368,1078,1805,4763,5936,3131,1981,2085
MSTRG.12151,335,375,334,329,272,282,300,601,650,442,277,368
MSTRG.16107,326,317,291,368,272,256,283,867,680,450,260,412
MSTRG.12153,10,11,6,3,9,44,9,4,33,9,16,6
MSTRG.19632,2939,923,1799,1343,2289,6022,4289,4051,6777,1611,1406,1675
MSTRG.16102,5974,4463,4248,5235,4184,3980,4892,9318,11452,5633,5285,6295
MSTRG.12626,0,3,0,0,0,7,0,0,11,7,0,0
