"","logFC","logCPM","F","PValue","FDR"
"MSTRG.467",0.722601123174473,8.7224503479102,29.5551516396464,0.000367713858695271,0.0382102432397875
"MSTRG.17741",-0.836169524120555,3.08867291221169,29.5265497104574,0.000369397713354749,0.0382102432397875
"MSTRG.20661",-1.27835680516983,4.06485228554212,29.4071768405193,0.000374640888093031,0.0385298775426712
"MSTRG.940",4.02002016635207,0.911221545536775,24.295342911519,0.000377921157476829,0.0386451377888449
"MSTRG.6253",1.0216815609362,5.71975275590433,29.2760082504092,0.000380624705980576,0.03870044950865
"MSTRG.5620",-1.01769665708059,3.63215730060706,29.1381032300894,0.000387411211545419,0.0389732306233785
"MSTRG.3649",4.84294237564222,0.769689654929922,21.5513046415144,0.000387663316622597,0.0389732306233785
"MSTRG.5571",-0.758641424287458,4.12828490600885,29.0655313063958,0.000390815760269661,0.0390706593856178
"MSTRG.628",0.516265435868208,5.64951640164143,28.9019875806504,0.000398763809380009,0.0396437687158626
"MSTRG.4275",0.957165902851734,11.6919889830687,28.8117431340179,0.000403272784646634,0.0397327236890471
"MSTRG.9990",0.70609429644876,6.6061456574158,28.7954503644609,0.000404099229472287,0.0397327236890471
"MSTRG.21252",1.70618886257651,1.9580855678249,28.8333140666969,0.000407944459119025,0.0398916180105735
"MSTRG.5027",2.02976925647192,-0.266053663541273,25.9960968289508,0.000413801816148173,0.0400664923271568
"MSTRG.17876",2.1057474096602,4.79152562749099,28.6017730404833,0.000414210733753786,0.0400664923271568
"MSTRG.7795",0.855649147356051,6.06701570333768,28.359690284018,0.000426963463376389,0.0409840005151631
"MSTRG.10835",0.825746035051618,9.81512879877477,28.3044114694676,0.000429956051927206,0.0409840005151631
"MSTRG.7692",0.586135820581198,5.46750587444883,28.2937484806481,0.000430566755901126,0.0409840005151631
"MSTRG.18666",1.12095199290282,5.12395484047849,28.2092708359763,0.000435245332762841,0.0412101334909578
"MSTRG.1830",0.698874871873381,4.77942565150156,28.0475125808086,0.000444373301438565,0.0418529485749638
"MSTRG.3423",-0.527907840587669,6.12345544349511,27.8844871942704,0.000453683398607567,0.042407939489967
"MSTRG.15494",-0.541157657177012,5.67713635942592,27.8620328406646,0.000455005553622446,0.042407939489967
"MSTRG.11560",0.704062910973903,4.72409183163633,27.71818484186,0.000463607247990721,0.0429857601181034
"MSTRG.19054",0.854654255465209,5.73317281006143,27.6760571177246,0.000466075041981845,0.0429918189498202
"MSTRG.6245",0.945462432514429,7.21024024559058,27.4247946351223,0.000481505892647385,0.0441874253791023
"MSTRG.9220",-1.53046488043407,2.23211048603104,27.2730186580019,0.000493414168966042,0.0450492171104455
"MSTRG.4546",1.87457372071277,9.43019388190755,26.9997681592006,0.000509098496414813,0.0460859219186884
"MSTRG.87",-0.671977184782228,8.33633024927916,26.9301923547016,0.000513796832717904,0.0460859219186884
"MSTRG.1143",0.872332963535277,6.37183667251481,26.9282398503163,0.000513931859368956,0.0460859219186884
"MSTRG.895",0.497689137900769,6.99679852049646,26.8868849420595,0.000516748668862439,0.0460859219186884
"MSTRG.6040",-1.07611499184099,3.63580707656878,26.7412579961754,0.000527136781262771,0.0460859219186884
"MSTRG.6218",-0.66967939306884,6.02890184545734,26.7044915282333,0.000529408435067784,0.0460859219186884
"MSTRG.18660",1.35392506683127,6.52779280291527,26.7007875485169,0.000529685231196835,0.0460859219186884
"MSTRG.15142",0.714746454307871,5.09975266950336,26.7002076641629,0.000529760611432416,0.0460859219186884
